cik,name,ticker,exchange,market_cap
1409493,CHIMERA INVESTMENT CORP,CIM,NYSE,1085940352.0
1922446,Diversified Energy Co PLC,DEC,NYSE,1001730752.0
1516912,"Origin Bancorp, Inc.",OBK,NYSE,1027968128.0
1267565,"COLLEGIUM PHARMACEUTICAL, INC",COLL,Nasdaq,1112025088.0
1525221,Bristow Group Inc.,VTOL,NYSE,1141610624.0
1704720,"Cannae Holdings, Inc.",CNNE,NYSE,1093191040.0
1276533,NUVEEN FLOATING RATE INCOME FUND,JFR,NYSE,1268423296.0
1831840,"SEMrush Holdings, Inc.",SEMR,NYSE,1142059136.0
1846576,"FIGS, Inc.",FIGS,NYSE,1343738368.0
2058601,BRBI BR Partners S.A.,BRBI,Nasdaq,1131984896.0
907254,"SAUL CENTERS, INC.",BFS,NYSE,1069178432.0
1498547,"CIM REAL ESTATE FINANCE TRUST, INC.",CMRF,OTC,1025304960.0
1224450,COHEN & STEERS REIT & PREFERRED & INCOME FUND INC,RNP,NYSE,1042901696.0
1995520,Yuanbao Inc.,YB,Nasdaq,1084267136.0
1275014,"Ultra Clean Holdings, Inc.",UCTT,Nasdaq,1359865600.0
94049,STEPAN CO,SCL,NYSE,1043522496.0
318300,PEOPLES BANCORP INC,PEBO,Nasdaq,1075088640.0
742278,RPC INC,RES,NYSE,1052342528.0
1309167,Aecon Group Inc.,AEGXF,OTC,1296480512.0
917520,INTEGRA LIFESCIENCES HOLDINGS CORP,IART,Nasdaq,1255922048.0
1937653,Zymeworks Inc.,ZYME,Nasdaq,1343545728.0
1464423,PennyMac Mortgage Investment Trust,PMT,NYSE,1097279360.0
1728688,"i3 Verticals, Inc.",IIIV,Nasdaq,1065719680.0
1828316,Pharming Group N.V.,PHAR,Nasdaq,931800768.0
1581804,Navigator Holdings Ltd.,NVGS,NYSE,1054154624.0
1172052,SAFETY INSURANCE GROUP INC,SAFT,Nasdaq,1036038656.0
1698514,National Energy Services Reunited Corp.,NESR,Nasdaq,1240343296.0
2022626,"Upstream Bio, Inc.",UPB,Nasdaq,1178460160.0
1831631,"loanDepot, Inc.",LDI,NYSE,1184714880.0
1838957,ATRenew Inc.,RERE,NYSE,908175552.0
1060822,CARTERS INC,CRI,NYSE,1178580864.0
1818502,OppFi Inc.,OPFI,NYSE,888776384.0
1971213,"Sinclair, Inc.",SBGI,Nasdaq,938143360.0
1823239,"MARAVAI LIFESCIENCES HOLDINGS, INC.",MRVI,Nasdaq,1248216576.0
1424929,FOX FACTORY HOLDING CORP,FOXF,Nasdaq,1039997824.0
878518,TASEKO MINES LTD,TGB,NYSE,1464087424.0
1669779,"Camping World Holdings, Inc.",CWH,NYSE,1049991360.0
1120914,PDF SOLUTIONS INC,PDFS,Nasdaq,1110144896.0
1710350,"Bit Digital, Inc",BTBT,Nasdaq,1256802048.0
2057463,"GCI Liberty, Inc.",GLIBA,Nasdaq,1022307904.0
1379384,BLACKROCK CREDIT ALLOCATION INCOME TRUST,BTZ,NYSE,1038701184.0
1518621,"Orchid Island Capital, Inc.",ORC,NYSE,1159080832.0
884219,"Pursuit Attractions & Hospitality, Inc.",PRSU,NYSE,1046728384.0
1066605,HEIDRICK & STRUGGLES INTERNATIONAL INC,HSII,Nasdaq,1213592704.0
1496099,New Mountain Finance Corp,NMFC,Nasdaq,1017874368.0
1465740,TWO HARBORS INVESTMENT CORP.,TWO,NYSE,1022799232.0
1376339,"MIMEDX GROUP, INC.",MDXG,Nasdaq,1000205760.0
1075415,DIVERSIFIED HEALTHCARE TRUST,DHC,Nasdaq,1038081728.0
798359,CENTERSPACE,CSR,NYSE,1057100352.0
1693256,"Select Water Solutions, Inc.",WTTR,NYSE,1432151040.0
1826470,"Petco Health & Wellness Company, Inc.",WOOF,Nasdaq,1025742976.0
1051004,"BLACKROCK MUNIHOLDINGS CALIFORNIA QUALITY FUND, INC.",MUC,NYSE,1022837312.0
744187,REX AMERICAN RESOURCES Corp,REX,NYSE,1061148096.0
1493683,BlackRock Taxable Municipal Bond Trust,BBN,NYSE,1028845312.0
1628908,"Evolent Health, Inc.",EVH,NYSE,905734592.0
45876,ENVIRI Corp,NVRI,NYSE,1079876480.0
1944558,"Vitesse Energy, Inc.",VTS,NYSE,846796992.0
1005817,TOMPKINS FINANCIAL CORP,TMP,NYSE,948731712.0
1004702,OCEANFIRST FINANCIAL CORP,OCFC,Nasdaq,1072593024.0
1794338,International General Insurance Holdings Ltd.,IGIC,Nasdaq,959018368.0
1094324,SIFY TECHNOLOGIES LTD,SIFY,Nasdaq,892080448.0
1950246,MAC Copper Ltd,MTAL,NYSE,1007798848.0
1579214,"Emerald Holding, Inc.",EEX,NYSE,930472576.0
350852,COMMUNITY TRUST BANCORP INC /KY/,CTBI,Nasdaq,956751360.0
1607939,"Udemy, Inc.",UDMY,Nasdaq,1023840448.0
915779,DAKTRONICS INC /SD/,DAKT,Nasdaq,990987520.0
1077183,NEOGENOMICS INC,NEO,Nasdaq,1378335872.0
1084961,ENCORE CAPITAL GROUP INC,ECPG,Nasdaq,1030697280.0
1767258,"XPEL, Inc.",XPEL,Nasdaq,987363648.0
1289877,SFL Corp Ltd.,SFL,NYSE,934473984.0
7323,"ENTERGY ARKANSAS, LLC",EAI,NYSE,1023463680.0
1067294,"CRACKER BARREL OLD COUNTRY STORE, INC",CBRL,Nasdaq,807240128.0
1515816,"Plymouth Industrial REIT, Inc.",PLYM,NYSE,994121408.0
1708035,Ecovyst Inc.,ECVT,NYSE,967976000.0
2048519,Aebi Schmidt Holding AG,AEBI,Nasdaq,884349248.0
1379400,abrdn Total Dynamic Dividend Fund,AOD,NYSE,1018463424.0
794619,AMERICAN WOODMARK CORP,AMWD,Nasdaq,939116864.0
1472012,Immunome Inc.,IMNM,Nasdaq,1365736192.0
107687,WINNEBAGO INDUSTRIES INC,WGO,NYSE,1132502400.0
1840502,Taboola.com Ltd.,TBLA,Nasdaq,1068187968.0
866829,HELIX ENERGY SOLUTIONS GROUP INC,HLX,NYSE,1029566400.0
1379041,"Employers Holdings, Inc.",EIG,NYSE,977141696.0
1726173,Biglari Holdings Inc.,BH-A,NYSE,1148979968.0
1702318,Akso Health Group,AHG,Nasdaq,934245632.0
1055160,"MFA FINANCIAL, INC.",MFA,NYSE,936338560.0
